IGNORE,Original_Start_Time,Original_Stop_Time
PULSE-OX,212481.56664335667,212562.24080919093
BLOOD-PRESSURE CUFF,212585.43548451547,213707.2988811189
VITAL CHECKING,213714.26244755244,215194.4783316683
ECG LEADS,216569.6592707292,217324.71194805196
PLACE CUFF,217357.9505994007,217781.3433566434
PULSE-OX,217796.7067132868,218027.9651148852
BLOOD-PRESSURE CUFF,218109.9536163837,218972.46095904105
VITAL CHECKING,219003.9658441559,220205.2863836165
SWAB AREA WITH ALCOHOL,221325.35823176833,221708.997062937
SWAB AREA WITH ALCOHOL,221708.997062937,221969.75880119886
DRAW MEDICATION,221969.75880119886,222084.35724275734
IM ADMINISTRATION,222084.35724275734,222525.3841258741
ORAL AIRWAY,224005.42609390602,224056.74824175835
BAGGING,224311.14710289703,233344.70403596398
KING AIRWAY,233689.6761038962,234425.5691508491
ORAL AIRWAY,235542.86433566434,235619.5025874125
INTUBATION,235888.94223776236,236782.71698301693
INTUBATION,238176.46027972034,239181.15557442556
ORAL AIRWAY,240062.20375624383,240126.16786213778
SWAB AREA WITH ALCOHOL,241743.21680319673,242209.9804495504
SWAB AREA WITH ALCOHOL,242209.9804495504,242569.28892107884
DRAW MEDICATION,242569.28892107884,242770.71728271726
IM ADMINISTRATION,242770.71728271726,243645.44976023983
CHEST-TUBE PREP,243645.44976023983,244584.56610389604
CHEST-TUBE,244584.56610389604,246092.50792207784
SUTURING,246092.50792207784,249364.75516483517
COMBAT TOURNIQUET,252087.29193806206,252965.25260739253
SPLINTING,253541.73290709296,255146.02183816198
COMBAT GAUZE,255267.07912087915,256735.46097902095
WRAP HEAD WOUND,256947.88927072936,258157.3597402598
SWAB AREA WITH ALCOHOL,264011.51337662333,264296.45427572425
IO LINE,264296.45427572425,265798.907892108
SWAB AREA WITH ALCOHOL,266065.1992807192,266259.90314685326
DRAW MEDICATION,266259.90314685326,266491.31100899115
ADMINISTER MEDICATION,266491.31100899115,267458.5232367633
IV TOURNIQUET,269762.10002997005,271046.62414585426
SWAB AREA WITH ALCOHOL,271046.62414585426,271325.29003996
IV LINE,271325.29003996,273202.68821178825
SWAB AREA WITH ALCOHOL,273440.73761238763,273570.48941058933
DRAW MEDICATION,273570.48941058933,273824.01776223787
ADMINISTER MEDICATION,273824.01776223787,274587.1398401599
IV TOURNIQUET,277324.2369830169,277825.33147852146
SWAB AREA WITH ALCOHOL,277825.33147852146,277964.11105894105
IV LINE,277964.11105894105,279605.6168331668
SWAB AREA WITH ALCOHOL,279810.1923176824,280025.25125874125
DRAW MEDICATION,280025.25125874125,280199.0311288712
ADMINISTER MEDICATION,280199.0311288712,281144.1854745254
CLAP,287781.185934066,287781.185934066
INTUBATION,289173.7633966034,289486.9214985015
