PROCEDURE,Original_Start_Time,Original_Stop_Time
CPR (COMPRESSION),49275.82075924086,49721.24235764246
CPR (BREATH),49721.24235764246,49875.59547452553
CPR (COMPRESSION),49875.59547452553,50412.48044955039
CPR (BREATH),50412.48044955039,50557.326953046875
CPR (COMPRESSION),50557.326953046875,50825.08207792214
IV TOURNIQUET,54476.786673326715,55147.48891108888
SWAB AREA WITH ALCOHOL,55147.48891108888,56718.158181818224
IV LINE,56718.158181818224,58228.481448551516
DRAW MEDICATION,58929.283666333606,59187.71385614397
ADMINISTER MEDICATION,59187.71385614397,60183.380679320595
IV TOURNIQUET,64298.94173826183,64964.5406493507
SWAB AREA WITH ALCOHOL,64964.5406493507,65630.66967032969
IV LINE,65630.66967032969,67075.60750249757
DRAW MEDICATION,68321.81619380612,68649.79972027971
ADMINISTER MEDICATION,68649.79972027971,69397.55988011985
SWAB AREA WITH ALCOHOL,72452.32990009995,72729.888941059
DRAW MEDICATION,72729.888941059,73066.27183816193
IM ADMINISTRATION,73066.27183816193,73515.1006693307
PULSE-OX,75992.08963036975,76156.48573426572
ECG LEADS,76378.21015984028,78300.97147852153
BLOOD-PRESSURE CUFF,78447.34240759237,79650.57173826183
VITAL CHECKING,79680.04333666326,80843.45757242756
SWAB AREA WITH ALCOHOL,85548.74991008997,85697.24373626386
IO LINE,85697.24373626386,87243.57200799198
SWAB AREA WITH ALCOHOL,87576.42695304695,87757.08245754242
DRAW MEDICATION,87757.08245754242,87827.05504495508
ADMINISTER MEDICATION,87827.05504495508,88498.94640359638
SWAB AREA WITH ALCOHOL,90258.62580419591,90469.52976023988
DRAW MEDICATION,90469.52976023988,90941.31437562432
IM ADMINISTRATION,90941.31437562432,91235.1645854147
COMBAT TOURNIQUET,92607.3715384616,93191.48229770231
SPLINTING,94179.34858141856,95280.73792207804
COMBAT GAUZE,95509.00837162833,96451.9791008991
WRAP HEAD WOUND,96932.97077922079,98343.84020979013
IV TOURNIQUET,103937.3460839162,104463.1114885115
SWAB AREA WITH ALCOHOL,104463.1114885115,105090.14502497496
IV LINE,105090.14502497496,106186.39267732267
DRAW MEDICATION,106499.03133866146,106750.31631368643
ADMINISTER MEDICATION,106750.31631368643,107356.21759240753
IV TOURNIQUET,110544.3549350649,110839.13097902098
SWAB AREA WITH ALCOHOL,110839.13097902098,111032.93697302691
IV LINE,111032.93697302691,112250.68771228784
DRAW MEDICATION,112608.41187812181,112793.93949050958
ADMINISTER MEDICATION,112793.93949050958,113417.56555444557
DRAW MEDICATION,116694.964975025,116938.89773226771
CHEST-TUBE PREP,116938.89773226771,117571.90858141864
IM ADMINISTRATION,117571.90858141864,117942.66482517493
CHEST-TUBE,117942.66482517493,119432.32597402597
SUTURING,119432.32597402597,123044.14984015978
ORAL AIRWAY,126435.8474325674,126568.70868131865
BAGGING,127162.50452547465,130782.2797702297
KING AIRWAY,132572.9630469531,133171.9597402598
ORAL AIRWAY,134230.516873127,134351.7799900099
INTUBATION,134848.763016983,135568.30519480517
INTUBATION,137046.72947052954,137634.39782217785
ORAL AIRWAY,138581.79602397603,138716.36037962037
SWAB AREA WITH ALCOHOL,141041.80660339654,141474.10648351657
IO LINE,141474.10648351657,142937.16596403602
DRAW MEDICATION,143215.9792807194,143416.57141858136
ADMINISTER MEDICATION,143416.57141858136,143978.77345654357
PULSE-OX,146547.85408591403,146677.9649250749
ECG LEADS,146843.64551448557,147977.8535064936
BLOOD-PRESSURE CUFF,147998.26915084923,149348.3429670329
VITAL CHECKING,149377.06675324673,150245.58275724284
SWAB AREA WITH ALCOHOL,152082.06392607404,152304.0573626373
DRAW MEDICATION,152304.0573626373,152835.56349650343
IM ADMINISTRATION,152835.56349650343,153140.6512687312
SWAB AREA WITH ALCOHOL,154983.01444555455,155153.8360939062
IO LINE,155153.8360939062,156411.9981518482
DRAW MEDICATION,156640.66969030973,156870.1954345655
ADMINISTER MEDICATION,156870.1954345655,157429.4084715284
DRAW MEDICATION,160461.8750949052,160616.16755244756
CHEST-TUBE PREP,160616.16755244756,161207.631938062
CHEST-TUBE,161207.631938062,162347.96742257747
SUTURING,162347.96742257747,165573.4928571428
PULSE-OX,169548.3181318682,169676.30811188807
ECG LEADS,169851.67234765235,171124.51120879126
BLOOD-PRESSURE CUFF,171145.97214785215,172174.03987012987
VITAL CHECKING,172191.79456543454,173128.5197202797
ORAL AIRWAY,175921.8342557442,176023.96930069927
BAGGING,176486.72637362636,194538.62787212786
ORAL AIRWAY,195005.54037962045,195121.81270729276
DRAW MEDICATION,199392.981938062,199708.8012287712
CHEST-TUBE PREP,199708.8012287712,200105.77003995996
SWAB AREA WITH ALCOHOL,200105.77003995996,200297.5744855145
IM ADMINISTRATION,200868.50442557439,201419.40803196802
CHEST-TUBE,201419.40803196802,202209.22285714286
SUTURING,202209.22285714286,205667.283896104
SWAB AREA WITH ALCOHOL,208981.65158841162,209084.68258741262
IO LINE,209084.68258741262,210357.6411488512
DRAW MEDICATION,210847.62869130872,210999.67930069938
ADMINISTER MEDICATION,210999.67930069938,211482.4328571428
ORAL AIRWAY,213792.00752247754,213915.6028471528
ORAL AIRWAY,214128.12119880124,214216.89533466526
VITAL CHECKING,216814.9165534465,217468.7619980021
PULSE-OX,217539.15254745248,217662.74787212798
ECG LEADS,217711.25943056942,218798.12214785218
BLOOD-PRESSURE CUFF,218827.2344955044,219709.64925074918
IV TOURNIQUET,223142.73071928063,223414.22205794198
SWAB AREA WITH ALCOHOL,223414.22205794198,223605.63857142854
IV LINE,223605.63857142854,225169.00738261745
DRAW MEDICATION,225502.4038861139,225748.66798201803
ADMINISTER MEDICATION,225748.66798201803,226327.09966033974
IV TOURNIQUET,229603.45810189817,229834.59707292705
SWAB AREA WITH ALCOHOL,229834.59707292705,230038.68635364642
IV LINE,230038.68635364642,231416.52893106898
DRAW MEDICATION,232203.99032967025,232601.01992007988
ADMINISTER MEDICATION,232601.01992007988,233208.80427572437
COMBAT TOURNIQUET,237047.65147852155,237579.93410589406
SPLINTING,238041.52567432576,239188.07829170837
COMBAT GAUZE,239291.4985714285,240160.49139860147
WRAP HEAD WOUND,241226.77387612392,242467.749080919
SWAB AREA WITH ALCOHOL,245833.81906093913,245987.6635864137
DRAW MEDICATION,245987.6635864137,246345.53682317684
IM ADMINISTRATION,246345.53682317684,246492.29703296704
SWAB AREA WITH ALCOHOL,248466.89367632373,249018.15539460548
IO LINE,249018.15539460548,249649.2240959042
DRAW MEDICATION,249917.75634365628,250103.7023976024
ADMINISTER MEDICATION,250103.7023976024,250494.48566433563
DRAW MEDICATION,252658.46697302692,252888.20121878135
IM ADMINISTRATION,252888.20121878135,253354.8746553446
BLOOD-PRESSURE CUFF,256238.69703296694,257269.48612387624
VITAL CHECKING,257288.2867732268,257899.83677322677
PULSE-OX,257967.35841158847,258073.677872128
ECG LEADS,258114.7462837164,259802.01083916088
DRAW MEDICATION,262592.53159840155,262899.3530169831
CHEST-TUBE PREP,262899.3530169831,263106.78998001997
SWAB AREA WITH ALCOHOL,263106.78998001997,263343.48935064935
IM ADMINISTRATION,263343.48935064935,263492.8207492509
CHEST-TUBE,263492.8207492509,265010.03925074934
SUTURING,265010.03925074934,266944.673916084
CLAP,277135.6035464536,277135.6035464536
INTUBATION,277937.4725274726,278984.3118881119
CPR (COMPRESSION),280394.9482717282,280701.9483116884
CPR (BREATH),280701.9483116884,280837.29047952045
CPR (COMPRESSION),280837.29047952045,281343.74754245766
CPR (BREATH),281343.74754245766,281461.9925874126
CPR (COMPRESSION),281461.9925874126,281894.41273726267
CPR (BREATH),281894.41273726267,281976.8495304696
CPR (COMPRESSION),281976.8495304696,282098.44222777226
COMBAT TOURNIQUET,282845.5741558441,283168.83431568433
SPLINTING,284451.267062937,285604.6645054945
