PROCEDURE,Original_Start_Time,Original_Stop_Time
IV TOURNIQUET,170741.39955044942,171273.41262737248
SWAB AREA WITH ALCOHOL,171273.41262737248,171375.90563436568
IV LINE,171375.90563436568,173985.9095604396
SWAB AREA WITH ALCOHOL,174346.15552447538,174710.84409590403
DRAW MEDICATION,174710.84409590403,174908.2081318682
ADMINISTER MEDICATION,174908.2081318682,175346.99481518473
IV TOURNIQUET,178761.982987013,179532.84080919073
SWAB AREA WITH ALCOHOL,179532.84080919073,179821.15933066927
IV LINE,179821.15933066927,182030.6832467532
SWAB AREA WITH ALCOHOL,182187.4267132866,182280.23535464524
DRAW MEDICATION,182280.23535464524,182551.33810189815
ADMINISTER MEDICATION,182551.33810189815,183166.32599400607
SWAB AREA WITH ALCOHOL,185191.5555344656,185436.1764335663
DRAW MEDICATION,185436.1764335663,185768.28410589418
SWAB AREA WITH ALCOHOL,185768.28410589418,186104.068981019
IM ADMINISTRATION,186104.068981019,186343.72813186815
SWAB AREA WITH ALCOHOL,188489.1165434565,188657.2185914085
IO LINE,188657.2185914085,190435.1976623377
SWAB AREA WITH ALCOHOL,190588.57204795195,190639.98194805186
DRAW MEDICATION,190639.98194805186,190904.53888111887
ADMINISTER MEDICATION,190904.53888111887,191468.92495504484
ORAL AIRWAY,193968.90020979015,194199.081038961
BAGGING,194651.71192807198,198337.44278721267
INTUBATION,199473.30539460544,200918.28092907093
ORAL AIRWAY,202280.5234765235,202483.41770229774
KING AIRWAY,203157.51200799202,204705.6697102896
ORAL AIRWAY,205929.1843456543,206116.59497502493
CPR (COMPRESSION),208217.64215784206,209092.67277722273
CPR (BREATH),209092.67277722273,209284.65662337653
CPR (COMPRESSION),209284.65662337653,209883.44406593402
CPR (BREATH),209883.44406593402,210136.94238761236
CPR (COMPRESSION),210136.94238761236,211329.15302697307
CPR (BREATH),211329.15302697307,211530.61228771217
CPR (COMPRESSION),211530.61228771217,212721.55069930063
CPR (BREATH),212721.55069930063,212936.84877122866
CPR (COMPRESSION),212936.84877122866,214360.5419580419
CPR (BREATH),214360.5419580419,214583.7018881119
CPR (COMPRESSION),214583.7018881119,215203.1426073926
CPR (BREATH),215203.1426073926,215444.4458841158
CPR (COMPRESSION),215444.4458841158,216263.3123976024
CPR (BREATH),216263.3123976024,216506.55773226763
CPR (COMPRESSION),216506.55773226763,217232.19755244753
CPR (BREATH),217232.19755244753,217290.54371628357
IV TOURNIQUET,220126.0347752247,220650.45521478524
SWAB AREA WITH ALCOHOL,220650.45521478524,220977.12437562435
IV LINE,220977.12437562435,223333.38743256748
SWAB AREA WITH ALCOHOL,223475.7528371629,223589.69463536466
DRAW MEDICATION,223589.69463536466,223870.8701898101
ADMINISTER MEDICATION,223870.8701898101,224454.71256743252
IV TOURNIQUET,226671.783956044,227243.6105694306
SWAB AREA WITH ALCOHOL,227243.6105694306,227514.41448551446
IV LINE,227514.41448551446,229686.00839160845
SWAB AREA WITH ALCOHOL,230205.79642357642,230623.18111888116
DRAW MEDICATION,233910.66953046957,234113.17462537467
ADMINISTER MEDICATION,234113.17462537467,234385.98113886116
SWAB AREA WITH ALCOHOL,234385.98113886116,234841.5364135863
IM ADMINISTRATION,234841.5364135863,235289.55758241765
CHEST-TUBE,235289.55758241765,237184.5870029969
SUTURING,237184.5870029969,239411.1205294705
VITAL CHECKING,242248.57045954053,243183.89016983003
ECG LEADS,243316.81126873134,244983.48158841152
PULSE-OX,245038.12066933067,245275.11884115884
BLOOD-PRESSURE CUFF,245336.15358641348,247193.85038961028
SWAB AREA WITH ALCOHOL,250182.26127872115,250394.54025974032
IO LINE,250394.54025974032,252282.33557442552
SWAB AREA WITH ALCOHOL,252394.51297702285,252546.95295704296
DRAW MEDICATION,252546.95295704296,252698.07728271734
SWAB AREA WITH ALCOHOL,252698.07728271734,252894.0355444556
ADMINISTER MEDICATION,252894.0355444556,253640.83861138867
COMBAT TOURNIQUET,256244.27466533464,257136.7339360639
SPLINTING,257664.47181818172,259078.39180819184
COMBAT GAUZE,259200.7907292706,260801.196083916
WRAP HEAD WOUND,261110.03004994994,262883.85542457533
SWAB AREA WITH ALCOHOL,267179.0020879121,267584.69976023963
DRAW MEDICATION,267584.69976023963,267827.19863136864
SWAB AREA WITH ALCOHOL,267827.19863136864,267990.09863136854
IM ADMINISTRATION,267990.09863136854,268185.9989310689
SWAB AREA WITH ALCOHOL,270186.2105994006,270329.83228771214
IO LINE,270329.83228771214,271903.2159440559
SWAB AREA WITH ALCOHOL,272003.8846153847,272119.34991008975
DRAW MEDICATION,272119.34991008975,272483.4107592408
ADMINISTER MEDICATION,272483.4107592408,272981.3790809191
ORAL AIRWAY,274981.1439860139,275188.3418781219
ORAL AIRWAY,275377.66474525473,275543.55452547455
VITAL CHECKING,279945.09641358635,280861.1505494504
ECG LEADS,281245.32749250747,282941.09025974025
PULSE-OX,283025.1703096903,283264.6195504496
BLOOD-PRESSURE CUFF,283340.8989410589,285215.46221778216
SWAB AREA WITH ALCOHOL,288328.4244455543,288475.99066933064
DRAW MEDICATION,288475.99066933064,288704.27562437556
SWAB AREA WITH ALCOHOL,288704.27562437556,289177.5248451547
IM ADMINISTRATION,289177.5248451547,289588.84243756236
CHEST-TUBE,289588.84243756236,291134.3678721278
SUTURING,291134.3678721278,293187.09629370633
SWAB AREA WITH ALCOHOL,295253.16215784213,295365.01003996003
DRAW MEDICATION,295365.01003996003,295623.43951048946
SWAB AREA WITH ALCOHOL,295623.43951048946,295911.2234265733
IM ADMINISTRATION,295911.2234265733,296176.76667332655
CLAP,301760.5703496503,301760.5703496503
INTUBATION,302357.83339660347,303723.4502097902
CPR (COMPRESSION),305325.9157942057,305852.39922077913
CPR (BREATH),305852.39922077913,306040.04994005983
CPR (COMPRESSION),306040.04994005983,306588.7108291708
CPR (BREATH),306588.7108291708,306796.23749250744
COMBAT TOURNIQUET,307369.74056943064,308177.7882917082
SPLINTING,308613.1972627373,310161.77055944054
