PROCEDURE,Original_Start_Time,Original_Stop_Time
ADMINISTER MEDICATION,93827.33187812177,94395.78098901095
IV TOURNIQUET,97738.3163436562,98135.13761238742
SWAB AREA WITH ALCOHOL,98135.13761238742,98508.16456543448
IV LINE,98508.16456543448,100368.87881118864
SWAB AREA WITH ALCOHOL,100899.57908091908,101251.68467532455
DRAW MEDICATION,101251.68467532455,101379.76282717277
ADMINISTER MEDICATION,101379.76282717277,101989.60954045937
SWAB AREA WITH ALCOHOL,105619.68197802186,105809.45418581416
IO LINE,105809.45418581416,107063.16161838161
DRAW MEDICATION,107678.06325674328,107916.76621378613
SWAB AREA WITH ALCOHOL,107916.76621378613,108101.75475524463
ADMINISTER MEDICATION,108101.75475524463,108723.73738261731
COMBAT TOURNIQUET,112444.43634365618,114000.8712887113
SPLINTING,114746.86729270732,117009.17991008988
COMBAT GAUZE,117584.808101898,118624.6232667331
WRAP HEAD WOUND,119050.46691308687,120654.27755244747
VITAL CHECKING,124481.68780219776,125625.13183816176
ECG LEADS,125761.46112887107,128109.39677322675
PULSE-OX,128315.60835164838,128592.12125874127
BLOOD-PRESSURE CUFF,128619.14184815186,130167.50646353643
DRAW MEDICATION,132731.37143856141,133001.96610389606
SWAB AREA WITH ALCOHOL,133001.96610389606,133203.57710289705
IM ADMINISTRATION,133203.57710289705,133392.51185814184
VITAL CHECKING,135666.49102897098,136810.1741958042
PULSE-OX,136865.65012987002,137067.02016983
ECG LEADS,137464.04901098885,139333.43445554443
BLOOD-PRESSURE CUFF,139371.90395604397,140858.96304695302
COMBAT TOURNIQUET,144741.32781218764,146299.3187112886
SPLINTING,146645.95369630368,148525.05242757246
COMBAT GAUZE,148785.76762237746,149637.4571928072
WRAP HEAD WOUND,150200.70764235753,151684.7787212786
SWAB AREA WITH ALCOHOL,155743.4582817182,155899.21540459542
IO LINE,155899.21540459542,157370.74462537465
DRAW MEDICATION,157693.3845254744,157930.74071928053
SWAB AREA WITH ALCOHOL,157930.74071928053,158157.09812187802
ADMINISTER MEDICATION,158157.09812187802,158760.54842157834
DRAW MEDICATION,161141.30685314676,161402.24700299703
SWAB AREA WITH ALCOHOL,161402.24700299703,161652.03818181818
IM ADMINISTRATION,161652.03818181818,161873.49362637365
IV TOURNIQUET,165362.19785214774,165978.22405594392
SWAB AREA WITH ALCOHOL,165978.22405594392,166327.22010988995
IV LINE,166327.22010988995,168151.20014985008
DRAW MEDICATION,168589.90459540446,168863.15622377605
SWAB AREA WITH ALCOHOL,168863.15622377605,169174.58082917085
ADMINISTER MEDICATION,169174.58082917085,169482.98640359638
IV TOURNIQUET,174490.87492507492,175207.7280719279
SWAB AREA WITH ALCOHOL,175207.7280719279,175505.04554445553
IV LINE,175505.04554445553,177309.05331668322
DRAW MEDICATION,177847.22466533448,177961.7624475523
SWAB AREA WITH ALCOHOL,177961.7624475523,178212.0019780218
ADMINISTER MEDICATION,178212.0019780218,178748.9777622377
ORAL AIRWAY,183595.54984015974,183770.16752247748
BAGGING,184377.69893106885,188069.2027672326
KING AIRWAY,189173.19191808195,189856.6934265733
ORAL AIRWAY,190970.17876123876,191061.3425574424
INTUBATION,191549.53909090903,192318.2507892107
ORAL AIRWAY,195452.7967432567,195537.17637362634
DRAW MEDICATION,202948.43715284707,203136.56448551433
SWAB AREA WITH ALCOHOL,203136.56448551433,203401.95803196795
IM ADMINISTRATION,203401.95803196795,203932.2857142857
CHEST-TUBE,203932.2857142857,205235.4621278721
SUTURING,205235.4621278721,208177.21375624376
DRAW MEDICATION,212476.29050949053,212774.77330669327
SWAB AREA WITH ALCOHOL,212774.77330669327,212946.75995004983
IM ADMINISTRATION,212946.75995004983,213307.05467532453
CHEST-TUBE,213307.05467532453,214729.22478521478
SUTURING,214729.22478521478,218140.5346153846
SWAB AREA WITH ALCOHOL,221708.23018981,221788.3056743257
IO LINE,221884.5815184815,223514.6666433565
DRAW MEDICATION,223973.0070029969,224212.72597402585
SWAB AREA WITH ALCOHOL,224212.72597402585,224347.85820179823
ADMINISTER MEDICATION,224347.85820179823,225013.3814985014
ORAL AIRWAY,229056.1668731267,229139.1423476522
BAGGING,229587.49246753243,238660.59185814185
INTUBATION,239798.24346653328,240903.3684515483
ORAL AIRWAY,242147.10221778209,242261.76044955035
DRAW MEDICATION,244395.97939060934,244690.27696303677
SWAB AREA WITH ALCOHOL,244690.27696303677,244929.6954845154
IM ADMINISTRATION,244929.6954845154,245360.5313886113
VITAL CHECKING,248704.835094905,249857.54448551443
PULSE-OX,249920.49383616375,250116.7809590408
ECG LEADS,250164.0968931068,252517.7304695304
BLOOD-PRESSURE CUFF,252668.13815184796,253422.71172827168
IV TOURNIQUET,259570.537042957,260173.94607392605
SWAB AREA WITH ALCOHOL,260173.94607392605,260506.8809190809
IV LINE,260506.8809190809,262922.19836163823
SWAB AREA WITH ALCOHOL,263246.47480519465,263485.65599400585
DRAW MEDICATION,271015.5567932068,271236.7424775223
SWAB AREA WITH ALCOHOL,271236.7424775223,271426.33507492504
ADMINISTER MEDICATION,271426.33507492504,271939.57723276725
