PROCEDURE,Original_Start_Time,Original_Stop_Time
SUTURING,91328.26564435575,96751.97376623377
SWAB AREA WITH ALCOHOL,99449.83900099908,99669.11160839153
IO LINE,99669.11160839153,101930.35555444562
DRAW MEDICATION,102348.21854145854,102553.45435564444
ADMINISTER MEDICATION,102553.45435564444,102985.30582417583
ORAL AIRWAY,107267.81931068927,107461.08908091909
BAGGING,108030.9443856145,117078.7026473526
KING AIRWAY,117470.14282717294,118431.82069930076
ORAL AIRWAY,119432.92903096908,119661.91687312693
INTUBATION,120573.89142857151,121493.69808191803
INTUBATION,123416.95807192799,125736.12674325686
ORAL AIRWAY,126755.91383616382,126970.91376623375
DRAW MEDICATION,129816.35817182831,129964.70241758236
SWAB AREA WITH ALCOHOL,129964.70241758236,130247.46233766235
IM ADMINISTRATION,130247.46233766235,130583.96454545464
PULSE-OX,133009.9013586414,133173.04219780213
ECG LEADS,133204.69579420588,135155.8667532467
BLOOD-PRESSURE CUFF,135174.36779220784,136443.15152847153
VITAL CHECKING,136511.8687912089,138294.5126673327
IV TOURNIQUET,142643.39424575432,143221.52952047955
SWAB AREA WITH ALCOHOL,143221.52952047955,143510.0286713288
IV LINE,143510.0286713288,145931.8403796204
DRAW MEDICATION,146205.21551448546,146401.98110889117
ADMINISTER MEDICATION,146401.98110889117,146851.64757242767
IV TOURNIQUET,149580.55111888115,150126.612887113
SWAB AREA WITH ALCOHOL,150126.612887113,150387.34291708286
IV LINE,150387.34291708286,152811.814915085
DRAW MEDICATION,153040.08632367637,153201.88081918095
ADMINISTER MEDICATION,153201.88081918095,153653.2498201798
COMBAT TOURNIQUET,156192.70993006986,157476.0973726275
SPLINTING,158282.62348651342,159568.13580419586
COMBAT GAUZE,159822.55972027982,160302.23553446567
WRAP HEAD WOUND,160793.7766333667,161908.61679320683
DRAW MEDICATION,165270.2755144856,165447.134985015
SWAB AREA WITH ALCOHOL,165447.134985015,165773.92294705298
IM ADMINISTRATION,165773.92294705298,166224.21662337662
CHEST-TUBE,166224.21662337662,168374.80750249763
SUTURING,168374.80750249763,173521.9211988013
CPR (COMPRESSION),177251.27358641368,177713.4057242758
CPR (BREATH),177713.4057242758,177952.58526473521
CPR (COMPRESSION),177952.58526473521,178473.60488511503
CPR (BREATH),178473.60488511503,178671.98610389617
CPR (COMPRESSION),178671.98610389617,179184.42029970037
CPR (BREATH),179184.42029970037,179400.82498501503
CPR (COMPRESSION),179400.82498501503,179950.65182817177
CPR (BREATH),179950.65182817177,180173.9609790209
CPR (COMPRESSION),180173.9609790209,180695.69127872123
CPR (BREATH),180695.69127872123,180934.03462537462
CPR (COMPRESSION),180934.03462537462,181434.45392607397
CPR (BREATH),181434.45392607397,181648.16781218795
CPR (COMPRESSION),181648.16781218795,182171.4778621379
CPR (BREATH),182171.4778621379,182385.99968031966
CPR (COMPRESSION),182385.99968031966,182921.12043956056
CPR (BREATH),182921.12043956056,183156.32529470537
CPR (COMPRESSION),183156.32529470537,183683.0478221778
CPR (BREATH),183683.0478221778,183912.5744355645
CPR (COMPRESSION),183912.5744355645,184438.63849150858
CPR (BREATH),184438.63849150858,184645.92602397603
CPR (COMPRESSION),184645.92602397603,185372.7923676325
CPR (BREATH),185372.7923676325,185879.87712287705
CPR (COMPRESSION),185879.87712287705,186085.5804995005
CPR (BREATH),186085.5804995005,186297.14229770238
SWAB AREA WITH ALCOHOL,202917.9255344655,203092.63360639368
IO LINE,203092.63360639368,204955.38110889122
DRAW MEDICATION,205256.284975025,205433.02477522474
ADMINISTER MEDICATION,205433.02477522474,205723.078021978
IV TOURNIQUET,210785.58566433575,211273.8705794206
SWAB AREA WITH ALCOHOL,211273.8705794206,211667.76071928078
IV LINE,211667.76071928078,213608.46218781214
DRAW MEDICATION,213795.6336863138,213965.8575824177
ADMINISTER MEDICATION,213965.8575824177,214363.78396603395
IV TOURNIQUET,217672.70337662342,218386.17815184806
SWAB AREA WITH ALCOHOL,218386.17815184806,218592.09164835166
IV LINE,218592.09164835166,220655.85026973023
DRAW MEDICATION,220880.41351648347,221099.98588411597
ADMINISTER MEDICATION,221099.98588411597,221551.41596403607
PULSE-OX,225504.28894105885,225581.5546753248
ECG LEADS,225687.9343456544,227695.1103296704
VITAL CHECKING,227848.92455544468,228760.2496303697
BLOOD-PRESSURE CUFF,228981.15083916084,230083.79493506486
DRAW MEDICATION,232405.21156843167,232562.73215784208
SWAB AREA WITH ALCOHOL,232562.73215784208,232825.4059540461
IM ADMINISTRATION,232825.4059540461,233094.02787212786
ORAL AIRWAY,235030.75600399598,235177.18738261744
BAGGING,235771.01772227784,253864.6026173827
INTUBATION,255318.21707292707,256460.82323676324
INTUBATION,257619.72794205803,259058.36652347655
ORAL AIRWAY,260197.89560439563,260389.60939060934
KING AIRWAY,260750.42730269727,261195.36995005002
ORAL AIRWAY,262171.52967032965,262314.7628271729
COMBAT TOURNIQUET,264013.77329670335,265597.85652347666
SPLINTING,266341.7302897102,267700.1435964036
COMBAT GAUZE,267892.641848152,268307.9335264736
WRAP HEAD WOUND,268792.5751348651,269907.41436563444
