ignore,PROCEDURE,Original_Start_Time,Original_Stop_Time,Video_Start,Video_Stop,Total_Time,Cleaned_Start_Time,Cleaned_Stop_Time,Posture,Patient_Side,Site,Comments,,,,,,,,,,,,,,,
bagging,BAGGING,2019-04-04 10:14:48:075819,2019-04-04 10:24:51:173136,00:49:29.19,00:58:58.47,10:03.10,10:14:48,10:24:51,"89,075.71","106,154.23",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:33:03:669862,2019-04-04 10:33:09:134274,01:07:44.78,01:07:16.44,00:05.46,10:33:04,10:33:09,"121,943.53","121,093.06",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 10:33:09:134274,2019-04-04 10:33:15:883208,01:07:50.25,01:07:23.18,00:06.75,10:33:09,10:33:16,"122,107.47","121,295.53",,,,,,,,,,,,,,,,,
IM administration,IM ADMINISTRATION,2019-04-04 10:33:15:883208,2019-04-04 10:33:30:146020,01:07:57.00,01:07:37.45,00:14.26,10:33:16,10:33:30,"122,309.93","121,723.41",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:34:27:432851,2019-04-04 10:34:33:103646,01:09:08.55,01:08:40.41,00:05.67,10:34:27,10:34:33,"124,456.42","123,612.14",,,,,,,,,,,,,,,,,
IO Line,IO LINE,2019-04-04 10:34:33:103646,2019-04-04 10:35:34:236246,01:09:14.22,01:09:41.54,01:01.13,10:34:33,10:35:34,"124,626.55","125,446.12",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:36:00:669519,2019-04-04 10:36:04:378595,01:10:41.78,01:10:11.68,00:03.71,10:36:01,10:36:04,"127,253.52","126,350.39",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 10:36:04:378595,2019-04-04 10:36:11:283121,01:10:45.49,01:10:18.58,00:06.91,10:36:04,10:36:11,"127,364.80","126,557.53",,,,,,,,,,,,,,,,,
Administer Medication,ADMINISTER MEDICATION,2019-04-04 10:36:11:283121,2019-04-04 10:36:30:043954,01:10:52.40,01:10:37.35,00:18.76,10:36:11,10:36:30,"127,571.93","127,120.35",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:39:03:302163,2019-04-04 10:39:19:379191,01:13:44.42,01:13:26.68,00:16.08,10:39:03,10:39:19,"132,732.50","132,200.41",,,,,,,,,,,,,,,,,
IV Tourniquet,IV TOURNIQUET,2019-04-04 10:39:19:379191,2019-04-04 10:39:27:161399,01:14:00.49,01:13:34.46,00:07.78,10:39:19,10:39:27,"133,214.81","132,433.87",,,,,,,,,,,,,,,,,
IV Line,IV LINE,2019-04-04 10:39:27:161399,2019-04-04 10:40:36:941951,01:14:08.28,01:14:44.24,01:09.78,10:39:27,10:40:37,"133,448.28","134,527.29",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:41:02:736160,2019-04-04 10:41:06:734462,01:15:43.85,01:15:14.04,00:04.00,10:41:03,10:41:07,"136,315.52","135,421.07",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 10:41:06:734462,2019-04-04 10:41:17:302186,01:15:47.85,01:15:24.60,00:10.57,10:41:07,10:41:17,"136,435.47","135,738.10",,,,,,,,,,,,,,,,,
Administer Medication,ADMINISTER MEDICATION,2019-04-04 10:41:17:302186,2019-04-04 10:41:41:353832,01:15:58.42,01:15:48.66,00:24.05,10:41:17,10:41:41,"136,752.50","136,459.65",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:43:16:206523,2019-04-04 10:43:36:354221,01:17:57.32,01:17:43.66,00:20.15,10:43:16,10:43:36,"140,319.63","139,909.66",,,,,,,,,,,,,,,,,
IV Tourniquet,IV TOURNIQUET,2019-04-04 10:43:36:354221,2019-04-04 10:43:50:433550,01:18:17.47,01:17:57.74,00:14.08,10:43:36,10:43:50,"140,924.06","140,332.04",,,,,,,,,,,,,,,,,
IV Line,IV LINE,2019-04-04 10:43:50:433550,2019-04-04 10:44:54:047368,01:18:31.55,01:19:01.35,01:03.61,10:43:50,10:44:54,"141,346.44","142,240.45",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:45:11:259704,2019-04-04 10:45:14:970773,01:19:52.37,01:19:22.27,00:03.71,10:45:11,10:45:15,"143,771.23","142,868.15",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 10:45:14:970773,2019-04-04 10:45:23:469036,01:19:56.09,01:19:30.77,00:08.50,10:45:15,10:45:23,"143,882.56","143,123.10",,,,,,,,,,,,,,,,,
IV Line,IV LINE,2019-04-04 10:45:23:469036,2019-04-04 10:45:44:692225,01:20:04.58,01:19:51.99,00:21.22,10:45:23,10:45:45,"144,137.51","143,759.80",,,,,,,,,,,,,,,,,
oral airway,ORAL AIRWAY,2019-04-04 10:48:39:370438,2019-04-04 10:48:47:137656,01:23:20.49,01:22:54.44,00:07.77,10:48:39,10:48:47,"150,014.55","149,233.16",,,,,,,,,,,,,,,,,
bagging,BAGGING,2019-04-04 10:49:13:341194,2019-04-04 10:51:15:863441,01:23:54.46,01:25:23.16,02:02.52,10:49:13,10:51:16,"151,033.67","153,694.93",,,,,,,,,,,,,,,,,
king airway,KING AIRWAY,2019-04-04 10:54:03:037080,2019-04-04 10:54:08:024759,01:28:44.15,01:28:15.33,00:04.99,10:54:03,10:54:08,"159,724.55","158,859.77",,,,,,,,,,,,,,,,,
oral airway,ORAL AIRWAY,2019-04-04 10:54:53:740382,2019-04-04 10:55:00:654908,01:29:34.86,01:29:07.96,00:06.92,10:54:54,10:55:01,"161,245.65","160,438.68",,,,,,,,,,,,,,,,,
intubation,INTUBATION,2019-04-04 10:55:35:484724,2019-04-04 10:56:29:149136,01:30:16.60,01:30:36.45,00:53.66,10:55:35,10:56:29,"162,497.98","163,093.51",,,,,,,,,,,,,,,,,
oral airway,ORAL AIRWAY,2019-04-04 10:57:16:519368,2019-04-04 10:57:27:753277,01:31:57.63,01:31:35.05,00:11.23,10:57:17,10:57:28,"165,529.02","164,851.63",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 10:59:33:621748,2019-04-04 10:59:40:286914,01:34:14.74,01:33:47.59,00:06.67,10:59:34,10:59:40,"169,642.09","168,827.64",,,,,,,,,,,,,,,,,
IO Line,IO LINE,2019-04-04 10:59:40:286914,2019-04-04 11:00:27:486644,01:34:21.40,01:34:34.79,00:47.20,10:59:40,11:00:27,"169,842.05","170,243.63",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 11:00:46:084869,2019-04-04 11:00:49:856776,01:35:27.20,01:34:57.16,00:03.77,11:00:46,11:00:50,"171,815.98","170,914.73",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 11:00:49:856776,2019-04-04 11:00:59:324445,01:35:30.97,01:35:06.63,00:09.47,11:00:50,11:00:59,"171,929.14","171,198.76",,,,,,,,,,,,,,,,,
IO Line,IO LINE,2019-04-04 11:00:59:324445,2019-04-04 11:01:17:258459,01:35:40.44,01:35:24.56,00:17.93,11:00:59,11:01:17,"172,213.17","171,736.79",,,,,,,,,,,,,,,,,
vital checking,VITAL CHECKING,2019-04-04 11:03:51:790367,2019-04-04 11:04:04:183227,01:38:32.91,01:38:11.48,00:12.39,11:03:52,11:04:04,"177,387.15","176,744.53",,,,,,,,,,,,,,,,,
ECG Leads,ECG LEADS,2019-04-04 11:04:07:788563,2019-04-04 11:05:10:251432,01:38:48.90,01:39:17.55,01:02.46,11:04:08,11:05:10,"177,867.10","178,726.57",,,,,,,,,,,,,,,,,
Pulse-Ox,PULSE-OX,2019-04-04 11:05:14:203857,2019-04-04 11:05:15:524324,01:39:55.32,01:39:22.83,00:01.32,11:05:14,11:05:16,"179,859.55","178,884.76",,,,,,,,,,,,,,,,,
Blood-Pressure Cuff,BLOOD-PRESSURE CUFF,2019-04-04 11:05:19:427903,2019-04-04 11:06:10:616915,01:40:00.54,01:40:17.92,00:51.19,11:05:19,11:06:11,"180,016.28","180,537.54",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 11:08:29:722018,2019-04-04 11:08:37:843280,01:43:10.84,01:42:45.14,00:08.12,11:08:30,11:08:38,"185,725.10","184,954.33",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 11:08:37:843280,2019-04-04 11:08:49:785330,01:43:18.96,01:42:57.09,00:11.94,11:08:38,11:08:50,"185,968.74","185,312.59",,,,,,,,,,,,,,,,,
IM administration,IM ADMINISTRATION,2019-04-04 11:08:49:785330,2019-04-04 11:09:00:992342,01:43:30.90,01:43:08.29,00:11.21,11:08:50,11:09:01,"186,327.00","185,648.80",,,,,,,,,,,,,,,,,
Chest-Tube,CHEST-TUBE,2019-04-04 11:09:11:464300,2019-04-04 11:09:55:395754,01:43:52.58,01:44:02.70,00:43.93,11:09:11,11:09:55,"186,977.37","187,280.90",,,,,,,,,,,,,,,,,
Suturing,SUTURING,2019-04-04 11:09:55:395754,2019-04-04 11:11:58:078637,01:44:36.51,01:46:05.38,02:02.68,11:09:55,11:11:58,"188,295.31","190,961.39",,,,,,,,,,,,,,,,,
combat tourniquet,COMBAT TOURNIQUET,2019-04-04 11:19:25:160491,2019-04-04 11:19:57:390250,01:54:06.28,01:54:04.69,00:32.23,11:19:25,11:19:57,"205,388.25","205,340.74",,,,,,,,,,,,,,,,,
Splinting,SPLINTING,2019-04-04 11:20:02:130548,2019-04-04 11:20:49:733206,01:54:43.25,01:54:57.03,00:47.60,11:20:02,11:20:50,"206,497.35","206,911.03",,,,,,,,,,,,,,,,,
Combat Gauze,COMBAT GAUZE,2019-04-04 11:21:01:936527,2019-04-04 11:22:01:499159,01:55:43.05,01:56:08.80,00:59.56,11:21:02,11:22:01,"208,291.53","209,064.01",,,,,,,,,,,,,,,,,
Wrap Head Wound,WRAP HEAD WOUND,2019-04-04 11:22:19:511984,2019-04-04 11:23:09:009525,01:57:00.63,01:57:16.31,00:49.50,11:22:20,11:23:09,"210,618.80","211,089.32",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 11:24:04:392884,2019-04-04 11:24:10:424776,01:58:45.51,01:58:17.73,00:06.03,11:24:04,11:24:10,"213,765.22","212,931.77",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 11:24:10:424776,2019-04-04 11:24:17:900764,01:58:51.54,01:58:25.20,00:07.48,11:24:10,11:24:18,"213,946.18","213,156.05",,,,,,,,,,,,,,,,,
IM administration,IM ADMINISTRATION,2019-04-04 11:24:17:900764,2019-04-04 11:24:30:238748,01:58:59.02,01:58:37.54,00:12.34,11:24:18,11:24:30,"214,170.46","213,526.19",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:29:53:292350,2019-04-04 11:30:11:519597,02:04:34.41,02:04:18.82,00:18.23,11:29:53,11:30:12,"224,232.21","223,764.62",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:30:11:519597,2019-04-04 11:30:16:172149,02:04:52.63,02:04:23.47,00:04.65,11:30:12,11:30:16,"224,779.03","223,904.20",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:30:16:172149,2019-04-04 11:30:35:203231,02:04:57.29,02:04:42.50,00:19.03,11:30:16,11:30:35,"224,918.60","224,475.13",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:30:35:203231,2019-04-04 11:30:37:599817,02:05:16.32,02:04:44.90,00:02.40,11:30:35,11:30:38,"225,489.54","224,547.03",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:30:37:599817,2019-04-04 11:30:57:479627,02:05:18.71,02:05:04.78,00:19.88,11:30:38,11:30:57,"225,561.43","225,143.42",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:30:57:479627,2019-04-04 11:31:02:436343,02:05:38.59,02:05:09.74,00:04.96,11:30:57,11:31:02,"226,157.83","225,292.12",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:31:02:436343,2019-04-04 11:31:20:786245,02:05:43.55,02:05:28.09,00:18.35,11:31:02,11:31:21,"226,306.53","225,842.62",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:31:20:786245,2019-04-04 11:31:24:550193,02:06:01.90,02:05:31.85,00:03.76,11:31:21,11:31:25,"226,857.03","225,955.54",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:31:24:550193,2019-04-04 11:31:43:313969,02:06:05.67,02:05:50.62,00:18.76,11:31:25,11:31:43,"226,969.94","226,518.45",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:31:43:313969,2019-04-04 11:31:48:122132,02:06:24.43,02:05:55.42,00:04.81,11:31:43,11:31:48,"227,532.86","226,662.70",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:31:48:122132,2019-04-04 11:32:06:297497,02:06:29.24,02:06:13.60,00:18.18,11:31:48,11:32:06,"227,677.10","227,207.96",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:32:06:297497,2019-04-04 11:32:10:790475,02:06:47.41,02:06:18.09,00:04.49,11:32:06,11:32:11,"228,222.36","227,342.75",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:32:10:790475,2019-04-04 11:32:29:379740,02:06:51.91,02:06:36.68,00:18.59,11:32:11,11:32:29,"228,357.15","227,900.42",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:32:29:379740,2019-04-04 11:32:32:540256,02:07:10.49,02:06:39.84,00:03.16,11:32:29,11:32:33,"228,914.83","227,995.24",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:32:32:540256,2019-04-04 11:32:52:310358,02:07:13.66,02:06:59.61,00:19.77,11:32:33,11:32:52,"229,009.65","228,588.34",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:32:52:310358,2019-04-04 11:32:56:690663,02:07:33.43,02:07:03.99,00:04.38,11:32:52,11:32:57,"229,602.75","228,719.75",,,,,,,,,,,,,,,,, 
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:32:56:690663,2019-04-04 11:33:14:723388,02:07:37.81,02:07:22.02,00:18.03,11:32:57,11:33:15,"229,734.16","229,260.73",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:33:14:723388,2019-04-04 11:33:19:649209,02:07:55.84,02:07:26.95,00:04.93,11:33:15,11:33:20,"230,275.14","229,408.51",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:33:19:649209,2019-04-04 11:33:37:336906,02:08:00.76,02:07:44.64,00:17.69,11:33:20,11:33:37,"230,422.91","229,939.14",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:33:37:336906,2019-04-04 11:33:42:233799,02:08:18.45,02:07:49.54,00:04.90,11:33:37,11:33:42,"230,953.55","230,086.05",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:33:42:233799,2019-04-04 11:33:59:970323,02:08:23.35,02:08:07.27,00:17.74,11:33:42,11:34:00,"231,100.45","230,618.14",,,,,,,,,,,,,,,#REF!,,
CPR (Breath),CPR (BREATH),2019-04-04 11:33:59:970323,2019-04-04 11:34:04:715627,02:08:41.09,02:08:12.02,00:04.75,11:34:00,11:34:05,"231,632.55","230,760.50",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:34:04:715627,2019-04-04 11:34:21:689211,02:08:45.83,02:08:28.99,00:16.97,11:34:05,11:34:22,"231,774.91","231,269.71",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:34:21:689211,2019-04-04 11:34:26:269954,02:09:02.80,02:08:33.57,00:04.58,11:34:22,11:34:26,"232,284.11","231,407.13",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:34:26:269954,2019-04-04 11:34:43:223616,02:09:07.39,02:08:50.53,00:16.95,11:34:26,11:34:43,"232,421.54","231,915.74",,,,,,,,,,,,,,,,,
CPR (Breath),CPR (BREATH),2019-04-04 11:34:43:223616,2019-04-04 11:34:48:250143,02:09:24.34,02:08:55.55,00:05.03,11:34:43,11:34:48,"232,930.15","232,066.54",,,,,,,,,,,,,,,,,
CPR (Compression),CPR (COMPRESSION),2019-04-04 11:34:48:250143,2019-04-04 11:34:54:386744,02:09:29.37,02:09:01.69,00:06.14,11:34:48,11:34:54,"233,080.94","232,250.63",,,,,,,,,,,,,,,,,
oral airway,ORAL AIRWAY,2019-04-04 11:35:55:506393,2019-04-04 11:36:00:661566,02:10:36.62,02:10:07.96,00:05.16,11:35:56,11:36:01,"235,098.63","234,238.88",,,,,,,,,,,,,,,,,
king airway,KING AIRWAY,2019-04-04 11:36:10:211036,2019-04-04 11:36:20:021765,02:10:51.33,02:10:27.32,00:09.81,11:36:10,11:36:20,"235,539.77","234,819.68",,,,,,,,,,,,,,,,,
intubation,INTUBATION,2019-04-04 11:37:14:839117,2019-04-04 11:37:55:119337,02:11:55.95,02:12:02.42,00:40.28,11:37:15,11:37:55,"237,478.61","237,672.61",,,,,,,,,,,,,,,,,
Swab Area with Alcohol,SWAB AREA WITH ALCOHOL,2019-04-04 11:40:25:606836,2019-04-04 11:40:31:049250,02:15:06.72,02:14:38.35,00:05.44,11:40:26,11:40:31,"243,201.64","242,350.51",,,,,,,,,,,,,,,,,
Draw Medication,DRAW MEDICATION,2019-04-04 11:40:31:049250,2019-04-04 11:40:38:769592,02:15:12.16,02:14:46.07,00:07.72,11:40:31,11:40:39,"243,364.92","242,582.12",,,,,,,,,,,,,,,,,
IM administration,IM ADMINISTRATION,2019-04-04 11:40:38:769592,2019-04-04 11:40:44:654865,02:15:19.88,02:14:51.96,00:05.89,11:40:39,11:40:45,"243,596.53","242,758.68",,,,,,,,,,,,,,,,,
Incision,INCISION,2019-04-04 11:40:44:654865,2019-04-04 11:40:52:573658,02:15:25.77,02:14:59.88,00:07.92,11:40:45,11:40:53,"243,773.08","242,996.24",,,,,,,,,,,,,,,,,
Chest-Tube Prep,CHEST-TUBE PREP,2019-04-04 11:40:52:573658,2019-04-04 11:41:07:896677,02:15:33.69,02:15:15.20,00:15.32,11:40:53,11:41:08,"244,010.65","243,455.93",,,,,,,,,,,,,,,,,
Chest-Tube,CHEST-TUBE,2019-04-04 11:41:07:896677,2019-04-04 11:41:48:964807,02:15:49.01,02:15:56.27,00:41.07,11:41:08,11:41:49,"244,470.34","244,687.98",,,,,,,,,,,,,,,,,
Suturing,SUTURING,2019-04-04 11:41:48:964807,2019-04-04 11:43:37:402655,02:16:30.08,02:17:44.70,01:48.44,11:41:49,11:43:37,"245,702.38","247,941.11",,,,,,,,,,,,,,,,,
